interview_id,segment_id,interviewee,title,year,location,generation,word_count,sentiment,dominant_topic,topic_weight
ddr-densho-1000-164,ddr-densho-1000-164-43-transcript-0048ae3415,Tom Akashi,Tom Akashi Interview Segment 43 Transcript,2004,"Klamath Falls, Oregon",Issei,177,0.979,1,0.0967
ddr-densho-1000-164,ddr-densho-1000-164-49-transcript-054253988c,Tom Akashi,Tom Akashi Interview Segment 49 Transcript,2004,"Klamath Falls, Oregon",Issei,206,0.996,1,0.1317
ddr-densho-1000-164,ddr-densho-1000-164-34-transcript-09f3775b7c,Tom Akashi,Tom Akashi Interview Segment 34 Transcript,2004,"Klamath Falls, Oregon",Issei,208,-0.396,2,0.1163
ddr-densho-1000-164,ddr-densho-1000-164-13-transcript-0bd2d5268b,Tom Akashi,Tom Akashi Interview Segment 13 Transcript,2004,"Klamath Falls, Oregon",Issei,201,0.998,1,0.1162
ddr-densho-1000-164,ddr-densho-1000-164-14-transcript-0d7b03bd51,Tom Akashi,Tom Akashi Interview Segment 14 Transcript,2004,"Klamath Falls, Oregon",Issei,149,0.993,2,0.0656
ddr-densho-1000-164,ddr-densho-1000-164-36-transcript-0db59c9657,Tom Akashi,Tom Akashi Interview Segment 36 Transcript,2004,"Klamath Falls, Oregon",Issei,277,0.962,1,0.1438
ddr-densho-1000-164,ddr-densho-1000-164-11-transcript-119dad27f6,Tom Akashi,Tom Akashi Interview Segment 11 Transcript,2004,"Klamath Falls, Oregon",Issei,389,1.0,2,0.1668
ddr-densho-1000-164,ddr-densho-1000-164-33-transcript-1a874145bb,Tom Akashi,Tom Akashi Interview Segment 33 Transcript,2004,"Klamath Falls, Oregon",Issei,277,0.991,2,0.0681
ddr-densho-1000-164,ddr-densho-1000-164-1-transcript-1e8de7b52f,Tom Akashi,Tom Akashi Interview Segment 1 Transcript,2004,"Klamath Falls, Oregon",Issei,274,0.999,1,0.1922
ddr-densho-1000-164,ddr-densho-1000-164-35-transcript-247106609a,Tom Akashi,Tom Akashi Interview Segment 35 Transcript,2004,"Klamath Falls, Oregon",Issei,279,0.962,2,0.0775
ddr-densho-1000-164,ddr-densho-1000-164-37-transcript-250f4d040a,Tom Akashi,Tom Akashi Interview Segment 37 Transcript,2004,"Klamath Falls, Oregon",Issei,261,-0.682,4,0.1359
ddr-densho-1000-164,ddr-densho-1000-164-15-transcript-2662dc748e,Tom Akashi,Tom Akashi Interview Segment 15 Transcript,2004,"Klamath Falls, Oregon",Issei,246,0.988,2,0.143
ddr-densho-1000-164,ddr-densho-1000-164-48-transcript-29fee4062f,Tom Akashi,Tom Akashi Interview Segment 48 Transcript,2004,"Klamath Falls, Oregon",Issei,229,0.998,1,0.2746
ddr-densho-1000-164,ddr-densho-1000-164-9-transcript-2c1d0dfe0e,Tom Akashi,Tom Akashi Interview Segment 9 Transcript,2004,"Klamath Falls, Oregon",Issei,275,0.999,5,0.1499
ddr-densho-1000-164,ddr-densho-1000-164-55-transcript-2c4a30415d,Tom Akashi,Tom Akashi Interview Segment 55 Transcript,2004,"Klamath Falls, Oregon",Issei,121,0.984,2,0.1737
ddr-densho-1000-164,ddr-densho-1000-164-7-transcript-30b2b8ad2e,Tom Akashi,Tom Akashi Interview Segment 7 Transcript,2004,"Klamath Falls, Oregon",Issei,105,0.93,1,0.1049
ddr-densho-1000-164,ddr-densho-1000-164-25-transcript-3152a8f592,Tom Akashi,Tom Akashi Interview Segment 25 Transcript,2004,"Klamath Falls, Oregon",Issei,165,0.998,2,0.0997
ddr-densho-1000-164,ddr-densho-1000-164-22-transcript-3190d5f33e,Tom Akashi,Tom Akashi Interview Segment 22 Transcript,2004,"Klamath Falls, Oregon",Issei,308,0.953,2,0.1861
